unit_id,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,drift_ptp,drift_std,drift_mad,sd_ratio,isolation_distance,l_ratio,d_prime,silhouette,nn_hit_rate,nn_miss_rate,peak_to_valley,peak_trough_ratio,half_width,repolarization_slope,recovery_slope,num_positive_peaks,num_negative_peaks
0,9852.0,5.4732723,1.0,2.7966685,0.006181691,1.0,0.005,2.6267004e-05,-50.354004,0.42507556,0.1617612,0.014311815,0.0,0.0,1.4,0.22811836,0.060384486,0.049838666,,,,,,,,0.00072,-0.109953575,0.00047,73156.28,-11773.776,1.0,1.0
1,1471.0,0.8172131,1.0,117.39368,0.0,0.0,0.1,0.030811794,-2473.6404,0.15899332,0.054055184,0.5050986,0.0,0.0,1.4,,,,,806.4675,0.16174039,5.453262,0.21224676,0.6535,0.024176162,0.00191,-0.0014356626,0.00021,641037.2,-32610.744,0.0,1.0
2,2510.0,1.394429,1.0,79.302216,98.95191,1039.0,,0.051627956,-2051.9258,0.7059958,0.101325095,0.42031872,0.0,0.0,2.8,,,,,68.69422,0.44123304,2.4057343,0.14390667,0.597,0.031606097,0.00161,-0.00042035908,0.00051,474798.34,-10211.305,0.0,2.0
3,1469.0,0.816102,1.0,127.62451,0.0,0.0,0.1,0.020454617,-2624.7024,0.06939462,0.04133377,0.16541865,0.0,0.0,1.4,,,,,664.47485,0.02970434,9.718303,0.439118,0.9425,0.0049661226,0.00172,-0.00013936733,0.00019,609155.2,-5377.8433,0.0,1.0
6,80.0,0.04444395,0.9,110.0798,0.0,0.0,,,-2347.7554,,,0.0125,0.0,0.0,0.2,,,,,209.74083,0.00017382421,8.175749,0.031059839,0.38125,0.0076294476,0.00189,-0.0018932418,0.00021,666641.25,-4013.3503,0.0,1.0
7,44.0,0.024444172,0.73333335,115.63181,0.0,0.0,,,-2574.3486,,,0.022727273,0.0,0.0,0.2,,,,,428432720000000.0,,4.701906,0.023745751,0.2215909,0.0052158274,0.00192,-0.00093510334,0.0002,600249.3,-6737.4434,0.0,1.0
8,679.0,0.37721804,1.0,115.867584,16.918423,13.0,,0.37105983,-2719.1162,0.35490885,0.22959064,0.17378497,0.0,0.0,0.81,,,,,192.10484,0.108783744,3.9800823,0.029348927,0.813,0.013396982,0.00189,4.1728658e-08,0.00018,,,0.0,1.0
9,54.0,0.029999666,0.8,125.95588,0.0,0.0,,,-2772.6172,,,0.018518519,0.0,0.0,0.2,,,,,246342600000000.0,,5.124383,0.022924704,0.5277778,0.0038544668,0.00192,-0.0022663602,0.00019,714527.8,-23818.139,0.0,1.0
10,11.0,0.006111043,0.23333333,130.29918,0.0,0.0,,,-2719.1162,,,0.0,0.0,0.0,0.0,,,,,3.6393165e+16,,7.4740715,0.06155308,0.022727273,0.0012888444,0.00197,-0.0038328634,0.00019,852714.5,-17986.908,0.0,1.0
11,22.0,0.012222086,0.53333336,132.54282,0.0,0.0,,,-2819.8242,,,0.0,0.0,0.0,0.2,,,,,9542450000000000.0,,5.809548,0.03906578,0.19318181,0.0021156052,0.00188,-0.002966737,0.00018,573514.7,-9218.479,0.0,1.0
